,V_count,A_Day,A_Time,Road_Type,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle,Casualty_Severity
0,2,0,3,0,0,3,1,1,1,38,9,0
1,2,2,1,4,0,3,1,1,0,50,1,1
2,2,0,2,4,0,4,1,1,1,26,1,1
3,2,0,4,4,0,4,1,4,0,22,1,1
4,2,0,2,0,3,4,1,1,1,57,12,1
5,2,0,2,0,0,4,1,1,1,59,12,0
6,1,0,4,3,3,4,1,1,0,53,1,0
7,2,0,2,4,3,3,5,4,0,22,1,1
8,2,2,4,3,3,4,1,4,0,20,1,1
9,1,2,4,1,3,3,5,1,1,22,1,1
10,1,2,4,1,3,3,5,4,0,26,1,1
11,5,3,4,4,3,4,5,1,1,35,1,1
12,5,3,1,4,3,4,5,4,0,21,1,1
13,5,3,1,4,3,4,5,4,1,28,1,1
14,2,3,3,4,3,4,5,1,1,53,9,1
15,1,3,4,4,3,4,5,3,0,18,13,1
16,1,3,1,1,3,1,5,1,0,47,1,1
17,2,3,2,0,3,3,5,1,0,30,1,1
18,2,3,4,0,3,3,5,4,1,8,1,1
19,2,3,1,4,3,3,5,1,1,39,1,1
20,2,3,3,4,3,3,5,4,0,39,1,1
21,1,3,3,4,3,3,1,3,1,42,1,1
22,2,1,3,2,3,3,5,1,1,26,12,1
23,1,1,3,4,0,4,1,1,1,58,10,1
24,2,1,2,0,3,3,5,1,0,29,1,1
25,2,1,1,0,3,3,5,1,1,33,13,1
26,2,5,3,2,3,3,5,1,1,43,12,1
27,1,5,3,4,3,4,1,3,1,60,1,1
28,2,6,2,4,0,4,1,1,1,52,9,1
29,1,6,2,4,0,3,1,3,1,33,1,1
30,2,6,2,4,3,4,5,1,1,25,12,1
31,1,6,2,4,3,2,5,3,0,49,1,1
32,2,6,4,4,0,3,1,1,1,39,12,1
33,2,6,1,2,3,4,1,1,1,27,1,1
34,2,6,1,2,3,4,1,4,0,55,1,1
35,2,6,1,4,3,4,1,1,1,72,1,1
36,2,6,3,4,3,3,5,1,1,36,1,1
37,2,6,4,4,3,3,5,4,1,38,1,1
38,2,4,4,0,0,4,1,4,0,2,1,1
39,2,4,4,0,0,4,1,4,0,28,1,1
40,1,4,2,3,3,4,0,1,1,43,3,1
41,2,4,2,4,3,4,1,1,0,44,1,1
42,1,4,4,4,3,4,5,4,0,81,0,1
43,3,4,3,4,0,3,1,1,0,45,1,1
44,3,4,1,4,0,3,1,4,1,21,1,1
45,2,4,2,0,0,1,1,1,0,34,1,1
46,2,4,4,0,0,1,1,1,0,37,1,1
47,1,4,4,4,3,1,5,1,1,26,1,1
48,1,0,3,4,3,4,1,3,1,78,3,0
49,2,0,2,0,0,3,1,1,1,56,8,1
50,1,0,4,4,3,3,1,3,0,11,1,1
51,2,0,3,0,0,3,1,1,0,18,1,1
52,2,0,2,0,0,3,1,4,1,26,1,1
53,2,0,2,0,0,3,1,1,1,42,1,1
54,2,2,1,4,3,3,2,1,1,45,12,0
55,2,2,1,4,3,4,5,1,1,25,10,1
56,3,2,4,3,3,4,1,1,0,54,1,1
57,3,2,4,3,3,4,1,4,1,55,1,1
58,3,2,1,3,3,4,1,4,0,31,1,1
59,4,2,1,0,0,4,1,1,0,40,1,1
60,4,2,4,0,0,4,1,4,1,15,1,1
61,4,2,1,0,0,4,1,1,0,30,1,1
62,2,2,3,0,3,3,5,1,1,23,1,1
63,2,2,2,0,3,3,5,1,0,29,1,1
64,1,2,2,4,3,3,5,3,0,60,1,0
65,1,2,1,0,3,3,5,3,0,47,1,1
66,1,2,4,4,0,3,1,3,1,63,1,1
67,4,3,4,0,3,4,0,1,0,29,1,1
68,4,3,4,0,3,4,0,4,1,6,1,1
69,2,3,1,4,0,4,1,1,0,80,1,1
70,2,1,4,3,3,4,1,4,1,57,9,1
71,2,1,4,0,3,4,1,1,1,36,12,0
72,1,1,4,4,3,4,1,3,0,49,13,1
73,2,1,3,4,0,4,1,1,0,80,1,0
74,4,1,2,0,3,3,1,1,1,60,1,1
75,2,1,1,4,3,3,1,1,1,29,10,1
76,2,5,3,0,3,4,1,1,1,45,12,0
77,2,5,2,0,0,3,1,4,0,50,1,1
78,1,4,1,4,0,3,1,3,1,47,1,1
79,2,6,3,4,0,4,1,1,0,54,1,1
80,2,5,2,0,0,4,1,1,1,51,12,0
81,1,6,1,4,0,4,1,3,1,11,1,1
82,3,6,1,3,3,1,1,1,1,40,1,1
83,3,6,3,3,3,1,1,1,1,22,1,1
84,2,6,4,0,3,3,5,4,1,20,1,0
85,2,6,2,0,3,3,5,4,1,20,1,1
86,2,6,3,0,3,3,5,1,1,33,1,1
87,3,4,2,4,1,4,6,1,1,30,1,1
88,3,4,4,4,1,4,6,1,0,35,1,1
89,1,6,1,4,0,3,1,3,0,30,1,1
90,1,4,4,0,0,4,1,3,1,20,1,1
91,2,4,1,4,0,4,1,1,0,62,1,1
92,1,4,2,4,3,3,1,1,1,36,1,1
93,2,4,2,0,0,3,1,1,1,68,1,0
94,2,4,3,4,0,3,1,1,1,23,12,1
95,2,4,4,4,0,3,1,1,1,27,1,1
96,2,4,1,4,0,3,1,4,0,21,1,1
97,2,4,3,4,3,4,5,1,1,52,12,1
98,1,0,3,4,3,4,1,1,1,57,12,1
99,1,0,2,4,3,4,1,3,1,26,12,1
100,1,0,3,4,1,3,1,1,0,17,5,1
101,2,0,2,2,3,3,5,1,0,31,1,1
102,2,0,1,4,3,3,1,1,1,37,1,1
103,2,0,4,4,3,4,5,4,0,26,1,0
104,2,0,1,4,3,4,5,4,1,7,1,1
105,2,0,4,4,3,4,5,4,1,7,1,1
106,1,2,1,4,0,4,1,1,0,23,1,1
107,2,2,1,0,3,4,1,1,1,28,1,1
108,2,2,4,4,0,4,1,1,0,84,7,1
109,2,2,3,0,0,4,1,1,1,47,1,1
110,2,2,2,0,0,4,1,1,1,41,1,1
111,2,2,4,0,3,4,1,1,0,53,1,1
112,1,2,1,4,0,4,1,4,1,11,0,0
113,1,2,2,4,2,3,7,1,1,19,5,1
114,2,1,3,4,0,3,1,1,1,26,12,1
115,2,1,1,3,0,3,1,1,0,48,1,1
116,2,1,2,4,3,4,5,1,0,58,1,0
117,2,1,1,0,3,3,1,1,0,40,12,0
118,2,1,1,4,3,3,3,1,1,49,12,1
119,2,1,4,4,3,3,1,1,0,26,1,1
120,2,1,1,4,3,3,1,4,0,14,1,1
121,2,5,4,4,3,4,8,3,1,17,1,1
122,1,5,3,4,0,4,1,3,0,42,1,0
123,1,5,4,4,3,3,1,3,0,12,1,1
124,2,5,2,0,0,3,1,1,1,27,1,1
125,2,5,3,0,0,3,1,4,1,31,1,1
126,2,5,1,0,0,3,1,4,1,29,1,1
127,2,5,1,0,0,3,1,4,1,28,1,1
128,2,6,4,4,0,3,8,1,0,40,12,1
129,2,6,4,2,0,4,8,1,1,32,12,1
130,2,6,2,4,3,1,1,1,1,73,1,0
131,2,6,3,4,3,1,1,1,1,47,1,1
132,2,6,3,4,0,3,1,4,1,33,1,1
133,1,6,4,4,3,4,5,3,0,15,1,1
134,1,6,4,4,3,3,3,1,1,25,1,1
135,2,6,3,4,3,3,1,1,0,27,1,1
136,1,4,4,4,1,4,1,1,1,16,5,1
137,1,4,1,4,1,4,1,3,0,52,1,1
138,1,4,3,4,1,4,1,3,1,33,1,1
139,2,4,3,0,3,4,8,1,1,62,1,1
140,1,4,3,4,3,3,5,3,1,12,1,1
141,1,4,3,4,3,3,5,3,1,43,1,1
142,2,4,2,4,3,3,5,1,1,22,1,0
143,2,4,1,0,3,3,1,1,0,64,1,1
144,2,4,3,0,3,3,1,4,0,15,1,1
145,2,0,2,2,3,4,5,1,0,51,1,1
146,1,0,3,4,0,4,1,3,1,10,1,1
147,2,0,4,4,3,3,8,1,1,21,12,1
148,2,0,3,0,3,3,1,1,1,15,12,1
149,2,2,4,0,3,3,5,1,0,25,1,1
150,2,2,4,0,3,3,5,4,1,21,1,1
151,2,2,4,0,3,3,5,1,1,33,1,1
152,1,2,4,4,3,3,1,3,1,42,1,0
153,1,2,1,0,3,3,5,4,1,25,1,0
154,2,2,2,0,3,3,1,1,1,31,1,1
155,3,3,1,0,3,4,1,1,1,63,1,1
156,2,3,1,4,3,3,1,1,1,40,12,1
157,1,1,1,2,0,4,1,3,0,27,1,1
158,2,1,3,0,0,4,1,1,0,63,1,1
159,2,1,4,4,0,4,1,4,1,20,1,1
160,2,1,4,4,0,4,1,1,0,66,1,1
161,1,5,1,4,3,4,5,3,1,28,1,1
162,1,5,1,4,0,4,8,3,1,21,1,1
163,2,5,3,4,0,3,1,1,0,59,1,1
164,1,5,2,4,3,4,1,4,0,46,0,1
165,2,5,3,4,0,4,8,4,0,19,1,1
166,2,5,1,4,0,4,8,4,1,19,1,1
167,2,5,3,4,0,4,8,4,0,19,1,1
168,2,6,2,4,0,4,8,4,0,43,1,1
169,2,6,4,4,0,4,1,1,1,40,1,1
170,2,6,2,3,0,3,1,1,0,28,1,1
171,2,4,4,4,0,3,1,1,1,41,12,0
172,2,4,2,4,3,4,1,1,1,50,12,1
173,1,0,1,4,0,3,8,3,0,14,1,1
174,2,4,3,0,3,3,4,1,1,48,1,1
175,2,4,1,0,3,3,4,4,0,36,1,1
176,1,4,1,2,0,3,8,3,0,30,1,0
177,2,4,3,0,3,4,1,1,1,21,12,1
178,2,4,1,4,3,3,5,1,0,43,12,1
179,2,0,3,0,3,4,1,1,1,60,1,1
180,1,4,4,4,3,3,1,3,1,20,13,1
181,2,0,3,4,3,4,1,1,1,18,5,1
182,3,0,1,4,0,3,1,1,0,22,1,1
183,1,0,4,4,0,3,8,1,1,26,10,1
184,2,4,4,2,0,3,8,1,1,47,12,1
185,1,0,2,0,3,4,1,3,0,22,13,1
186,2,0,4,4,3,4,4,1,0,29,1,1
187,2,0,1,0,3,4,0,1,0,38,1,1
188,1,6,1,4,0,4,8,3,1,26,1,1
189,2,0,2,4,0,4,0,1,1,21,12,1
190,4,0,2,1,3,1,1,1,0,25,1,1
191,4,0,1,1,3,1,1,1,1,41,1,1
192,4,0,4,1,3,1,1,1,1,23,1,1
193,4,0,1,1,3,1,1,1,0,24,1,1
194,2,0,3,4,0,3,8,1,1,24,12,1
195,1,0,4,4,0,3,0,3,1,70,1,1
196,2,0,1,2,0,3,8,1,1,33,13,1
197,1,2,4,2,0,2,8,1,1,35,2,0
198,1,2,4,2,3,4,1,3,0,81,1,1
199,2,2,3,0,3,4,6,1,1,33,12,1
200,1,2,2,3,3,3,7,1,1,48,1,1
201,2,3,1,4,3,4,1,1,0,37,1,1
202,2,3,1,4,3,4,1,1,1,28,1,1
203,2,3,4,4,3,4,1,4,0,20,1,1
204,2,3,1,4,3,4,1,4,0,7,1,1
205,2,3,1,4,3,4,1,4,1,6,1,1
206,1,3,1,4,3,4,1,3,1,28,1,1
207,2,3,4,4,0,4,1,1,1,41,12,1
208,1,3,3,0,3,3,1,1,1,64,1,1
209,1,3,4,4,0,4,0,3,1,20,13,1
210,2,1,4,4,3,3,0,1,1,34,1,1
211,2,0,4,0,0,3,8,1,0,23,1,1
212,1,1,4,4,3,4,1,3,1,28,1,1
213,3,1,1,4,0,4,0,1,0,52,1,1
214,3,1,4,4,0,4,0,1,0,66,1,1
215,1,1,4,4,0,4,0,3,0,85,1,1
216,2,1,2,4,0,4,8,4,1,6,1,1
217,2,1,3,4,0,4,8,4,0,9,1,1
218,2,1,4,4,0,4,8,4,0,10,1,1
219,1,1,1,4,0,4,1,3,0,26,2,1
220,2,5,2,3,0,4,0,1,1,31,1,1
221,2,5,2,3,0,4,1,1,0,73,1,1
222,2,5,3,0,3,3,8,1,1,41,12,1
223,2,5,3,4,3,3,3,1,1,24,8,1
224,2,6,2,4,0,4,1,4,0,28,1,1
225,2,6,3,4,0,4,1,1,1,48,1,1
226,3,6,2,0,0,4,1,4,0,47,1,1
227,1,6,2,0,0,4,1,3,0,24,1,1
228,1,6,1,4,0,4,1,3,0,86,1,0
229,3,6,1,0,0,4,8,1,0,80,1,1
230,3,6,2,0,0,4,8,4,0,83,1,0
231,3,6,4,0,0,4,8,1,1,42,1,1
232,2,6,3,4,3,4,1,1,1,24,12,0
233,1,6,4,4,3,4,1,3,0,86,1,1
234,3,6,3,3,0,3,1,1,0,41,1,1
235,2,6,1,4,3,4,1,4,1,77,0,1
236,2,6,1,0,0,4,8,1,0,32,1,1
237,3,5,1,4,0,4,1,1,1,36,13,1
238,1,4,1,4,3,3,5,3,1,20,13,0
239,1,4,1,4,3,3,5,4,0,19,13,1
240,2,6,4,4,3,4,1,1,0,30,1,1
241,2,4,1,4,0,4,1,4,1,8,1,1
242,3,4,2,4,0,3,1,4,0,31,1,1
243,3,4,4,4,0,3,1,4,0,23,1,1
244,1,0,2,4,0,3,1,3,1,22,1,0
245,2,2,1,2,3,1,0,1,1,29,1,1
246,2,2,1,2,3,1,0,4,0,29,1,1
247,1,0,1,4,0,4,1,1,1,22,10,0
248,1,0,2,4,0,4,1,3,0,52,10,1
249,1,0,1,4,0,4,1,3,0,38,10,1
250,2,0,3,0,0,4,1,1,1,50,1,1
251,2,0,4,4,0,4,1,1,1,29,1,1
252,2,0,3,4,0,4,1,1,1,52,1,1
253,2,0,3,4,0,3,8,1,1,24,12,1
254,1,2,3,0,3,4,5,4,0,22,1,1
255,2,2,2,3,3,4,5,1,1,70,1,1
256,2,2,4,0,3,4,5,1,0,43,1,1
257,2,2,3,4,3,4,1,4,1,18,8,0
258,2,2,2,0,0,4,8,4,0,37,1,1
259,2,3,2,4,3,3,5,1,1,25,12,0
260,2,2,4,0,0,4,8,1,1,40,12,1
261,1,3,1,0,0,4,8,4,0,4,0,1
262,2,3,2,2,3,3,4,1,0,69,1,1
263,2,3,1,2,3,3,4,1,1,38,1,1
264,2,3,4,2,3,3,4,4,1,18,1,1
265,2,3,2,2,3,3,4,4,0,2,1,1
266,2,3,1,4,0,2,8,1,0,72,1,1
267,2,3,3,4,0,2,8,4,1,80,1,1
268,4,3,4,3,3,1,4,1,0,35,1,1
269,4,3,3,3,3,1,4,4,0,3,1,1
270,4,3,1,3,3,1,4,4,0,5,1,1
271,2,3,1,4,3,3,5,1,1,48,13,1
272,2,1,4,4,3,4,4,1,1,25,10,1
273,2,1,3,0,3,4,5,1,1,24,1,1
274,1,2,3,4,0,3,8,3,0,46,13,1
275,2,1,2,4,3,4,5,1,1,29,12,1
276,2,1,4,4,3,4,1,4,1,46,1,1
277,3,1,2,4,3,3,1,1,1,36,13,0
278,3,1,1,4,3,3,1,1,0,22,1,1
279,2,1,3,0,3,3,4,1,0,23,12,1
280,2,5,1,4,3,4,5,1,1,20,10,1
281,5,5,3,0,3,4,1,1,1,40,1,1
282,2,5,4,4,0,4,1,1,0,20,1,0
283,1,5,1,4,0,4,8,3,0,70,1,1
284,2,5,1,0,0,4,1,1,1,20,10,1
285,2,5,4,0,0,3,8,1,0,71,1,1
286,2,5,1,4,0,4,1,1,0,44,1,1
287,2,5,2,4,0,4,1,1,0,14,12,1
288,2,5,2,0,0,4,1,1,0,32,1,1
289,2,5,2,0,0,4,1,1,1,42,1,1
290,1,6,1,4,0,4,1,3,0,41,1,1
291,2,6,1,0,0,4,8,1,1,25,12,1
292,2,6,3,0,0,4,1,1,1,40,10,0
293,1,6,2,0,0,4,1,3,1,77,0,1
294,2,6,1,0,0,4,1,4,0,73,1,1
295,3,6,2,0,0,3,1,1,0,65,1,1
296,3,6,4,0,0,3,1,4,0,7,1,1
297,3,6,2,0,0,3,1,4,0,16,1,1
298,3,6,2,0,0,3,1,4,0,15,1,1
299,3,6,1,0,0,3,1,4,0,15,1,1
300,2,6,4,4,0,3,1,1,0,30,1,1
301,2,6,3,0,0,3,8,1,1,30,1,1
302,2,6,4,4,0,3,1,1,1,31,1,1
303,2,4,2,0,0,4,1,1,0,43,1,1
304,2,4,1,0,3,4,1,1,0,39,1,1
305,3,4,4,3,0,4,1,1,0,20,1,1
306,2,4,1,4,0,4,1,4,0,22,1,1
307,2,4,1,0,0,4,8,1,1,30,12,1
308,2,4,3,0,0,3,1,1,1,19,1,1
309,2,0,4,4,3,4,1,1,1,28,1,1
310,2,0,2,3,0,4,1,4,0,16,1,1
311,1,0,1,4,3,4,1,3,0,10,1,1
312,1,0,3,3,3,3,1,4,0,23,1,1
313,2,0,4,3,3,3,1,4,0,48,1,1
314,2,0,2,4,0,3,1,1,1,51,12,1
315,1,2,4,4,3,3,1,3,0,30,1,1
316,3,2,2,0,0,4,8,1,0,64,1,1
317,3,2,4,0,0,4,8,1,0,51,1,1
318,3,2,3,0,0,4,8,1,0,38,1,1
319,3,2,4,0,0,4,8,4,0,53,1,1
320,2,0,3,0,0,4,1,1,0,26,12,1
321,1,2,2,3,3,4,1,4,0,44,1,1
322,2,2,4,2,0,3,8,1,0,22,1,1
323,2,2,3,2,0,3,8,4,1,20,1,1
324,2,3,3,0,0,4,1,1,1,62,12,0
325,2,3,2,2,0,4,1,4,0,32,1,1
326,2,3,3,0,0,4,1,1,1,29,12,1
327,3,1,2,0,0,4,1,1,1,28,1,1
328,3,1,1,0,0,4,1,1,1,51,1,1
329,1,1,2,4,1,4,1,3,1,9,1,0
330,2,1,3,0,0,4,1,1,1,59,12,1
331,1,1,1,4,1,1,5,1,0,22,1,1
332,3,1,1,0,0,3,1,1,1,67,13,0
333,3,5,2,0,1,4,1,1,0,25,1,1
334,5,5,4,4,0,4,1,1,0,20,1,1
335,2,5,1,0,0,4,1,1,1,53,12,1
336,2,5,2,0,0,4,1,1,0,45,1,1
337,2,5,4,4,3,3,1,1,0,46,7,1
338,1,5,3,0,3,3,1,1,1,26,1,1
339,1,6,4,4,3,4,8,3,0,15,1,1
340,2,5,4,4,0,4,8,1,1,26,12,1
341,1,6,3,4,3,3,8,3,1,17,2,1
342,4,6,4,4,3,3,5,4,0,49,1,1
343,1,4,3,4,1,4,5,4,0,18,1,1
344,2,6,3,4,0,3,8,1,1,27,1,1
345,1,4,4,4,1,4,1,1,1,35,1,1
346,2,4,4,3,0,4,1,4,1,59,1,1
347,2,4,3,4,0,4,8,4,0,45,1,1
348,2,4,3,4,0,4,1,1,1,63,12,1
349,2,4,1,0,0,4,8,1,1,39,12,1
350,2,4,3,4,0,3,8,1,1,22,1,1
351,1,1,4,4,0,4,8,3,1,61,1,0
352,2,4,2,4,0,4,1,1,1,19,10,1
353,1,4,4,2,0,4,1,4,0,20,0,1
354,2,4,3,0,0,3,1,1,0,52,1,1
355,1,4,1,4,0,3,1,3,0,52,1,0
356,2,4,4,4,0,3,1,1,1,19,1,1
357,2,4,4,4,0,3,1,1,1,20,1,1
358,2,4,4,4,0,3,1,4,1,21,1,1
359,2,4,3,4,0,3,1,4,1,31,1,1
360,2,4,4,0,3,4,1,1,1,46,0,1
361,2,0,2,0,3,4,1,4,1,19,1,1
362,1,0,3,4,3,3,6,4,1,18,1,1
363,1,0,3,4,3,3,1,3,0,20,1,1
364,2,0,4,2,3,3,1,4,1,46,1,1
365,2,0,1,2,3,3,1,4,0,19,1,1
366,2,2,3,4,0,4,1,1,0,35,1,1
367,2,0,2,4,0,4,8,1,0,29,1,1
368,2,3,4,4,0,4,8,1,1,38,12,0
369,1,1,3,4,0,4,1,3,1,78,1,1
370,1,1,1,4,0,4,1,1,1,51,9,1
371,4,1,1,4,0,4,1,1,1,22,1,1
372,4,1,1,4,0,4,1,1,1,33,1,1
373,1,1,4,4,0,4,1,3,1,45,1,1
374,3,1,2,4,0,4,1,1,1,24,1,1
375,2,5,3,4,0,4,1,1,1,37,2,1
376,1,5,1,0,0,4,1,1,1,64,2,1
377,1,5,4,4,0,4,8,4,1,58,13,1
378,3,6,1,3,0,4,1,1,1,50,2,1
379,3,6,2,3,0,4,1,1,1,52,1,1
380,1,5,3,4,0,4,8,3,0,15,0,1
381,1,4,4,4,0,3,1,4,1,18,1,1
382,1,4,2,0,1,4,1,1,0,22,1,1
383,2,4,3,4,0,4,1,1,1,23,1,1
384,2,4,4,4,0,4,1,1,1,22,1,1
385,2,4,4,4,0,4,1,4,1,25,1,1
386,2,4,3,4,0,4,1,1,0,49,12,1
387,2,4,1,0,0,4,1,1,1,49,2,1
388,3,4,3,0,0,4,1,1,1,24,9,1
389,2,4,2,0,0,4,1,4,0,60,1,1
390,2,4,1,4,0,4,1,1,0,53,1,1
391,1,4,3,4,0,4,8,3,0,20,1,1
392,1,4,1,4,0,4,8,3,0,14,1,1
393,2,4,4,4,0,2,8,1,1,25,1,1
394,2,0,2,4,0,4,8,1,1,15,12,1
395,2,0,1,4,0,4,1,4,0,77,1,1
396,4,0,3,3,0,4,1,1,1,46,1,1
397,4,0,1,3,0,4,1,1,1,25,1,1
398,4,0,4,3,0,4,1,1,1,76,1,1
399,4,0,3,3,0,4,1,1,1,26,1,1
400,2,3,3,4,0,4,1,1,1,38,12,0
401,1,0,4,0,0,4,8,4,1,1,0,1
402,2,2,3,4,3,4,1,1,1,20,1,0
403,2,0,3,4,0,3,8,1,1,45,13,1
404,2,2,2,4,0,3,1,4,1,25,1,0
405,2,2,4,4,0,3,1,1,1,45,1,1
406,2,2,2,4,0,3,1,4,0,41,1,1
407,2,2,3,4,0,3,1,4,0,43,1,1
408,2,2,1,4,0,3,1,4,0,42,1,1
409,2,2,1,4,0,3,1,4,1,24,1,1
410,1,2,3,4,0,1,1,1,1,16,10,0
411,2,2,3,0,0,3,1,1,1,68,1,1
412,2,2,2,0,0,3,1,4,0,65,1,1
413,2,2,3,0,0,3,1,4,0,42,1,1
414,2,2,4,0,0,3,1,1,0,25,1,1
415,2,3,4,0,0,4,1,1,1,40,12,1
416,3,3,3,4,0,4,1,1,0,50,12,1
417,2,3,2,4,0,3,1,1,1,47,6,1
418,2,3,3,4,0,3,1,1,0,58,1,1
419,2,3,1,4,0,3,1,4,1,57,1,0
420,2,3,1,4,0,3,1,4,1,11,1,1
421,2,3,2,4,0,3,1,4,1,14,1,1
422,2,3,3,3,0,3,1,4,0,27,1,1
423,2,3,4,3,0,3,1,4,0,5,1,1
424,2,3,1,2,3,3,1,4,1,17,13,1
425,3,1,4,3,0,4,1,1,1,53,1,1
426,2,1,2,0,0,4,1,1,0,48,1,1
427,2,1,1,4,0,4,1,1,1,16,5,1
428,2,1,4,3,0,4,1,1,1,31,1,1
429,2,1,4,4,0,4,1,1,1,40,1,1
430,2,1,4,0,3,3,5,1,1,25,1,1
431,2,1,3,0,3,3,5,1,0,49,1,1
432,1,5,4,1,3,4,1,1,1,54,3,1
433,2,5,1,4,0,4,5,1,1,21,12,1
434,2,5,1,4,3,4,1,1,1,40,1,1
435,2,5,4,4,0,3,1,1,1,46,12,1
436,1,5,2,4,0,3,1,3,0,75,13,0
437,1,6,2,4,1,4,8,1,1,33,10,1
438,3,6,2,4,0,4,8,1,1,27,2,1
439,1,6,4,0,2,4,7,3,0,25,1,0
440,3,6,1,4,2,4,8,1,1,39,1,1
441,3,6,3,4,2,4,8,1,0,38,1,1
442,3,6,4,4,2,4,8,1,0,79,1,1
443,1,6,4,0,2,4,7,1,1,19,10,1
444,2,6,1,4,0,4,8,4,0,45,0,1
445,2,6,4,4,0,4,8,4,0,42,0,1
446,2,6,4,4,1,4,8,3,1,48,1,1
447,2,6,1,0,0,4,8,1,1,42,1,1
