,V_count,A_Day,A_Time,Road_Type,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle,Casualty_Severity
448,2,6,4,2,3,3,5,1,1,56,12,1
449,2,6,2,4,0,4,8,1,0,34,1,1
450,1,6,3,4,0,4,1,3,1,14,1,0
451,3,5,2,0,0,4,1,1,1,19,12,1
452,1,6,3,4,3,4,1,3,1,44,1,1
453,2,6,3,4,3,4,1,4,0,14,1,1
454,1,4,4,0,0,4,1,3,0,11,1,1
455,2,4,3,0,3,3,1,4,0,60,0,1
456,3,4,3,0,3,3,5,1,1,21,1,1
457,2,0,2,4,1,4,7,4,1,2,1,1
458,2,4,4,4,0,4,1,1,1,21,12,1
459,2,2,3,4,3,4,1,1,0,39,1,1
460,2,2,3,4,3,4,1,4,0,44,1,1
461,2,2,1,3,0,4,1,4,0,45,1,1
462,2,2,4,0,3,4,1,1,1,74,1,1
463,2,2,1,0,3,4,1,1,1,49,13,1
464,2,3,2,4,0,4,1,1,1,37,1,1
465,2,3,2,4,0,4,1,4,0,39,1,0
466,2,3,4,4,0,4,1,1,1,42,1,1
467,2,3,4,4,0,4,1,4,1,11,1,0
468,2,3,2,4,0,4,1,4,1,9,1,1
469,2,3,2,4,0,4,1,4,1,2,1,1
470,2,3,3,4,0,4,8,1,1,35,1,1
471,2,3,3,4,0,4,8,4,0,11,1,1
472,3,3,2,0,0,4,1,4,0,20,1,1
473,3,3,3,0,0,4,1,1,1,47,1,1
474,1,3,1,4,0,4,1,1,0,52,1,1
475,2,3,4,4,0,4,1,1,1,29,12,1
476,1,3,2,4,0,3,1,1,1,37,1,1
477,2,1,2,4,0,4,1,1,1,43,12,1
478,1,1,3,4,0,4,1,3,0,15,1,0
479,2,1,3,3,0,4,1,1,0,24,1,1
480,2,1,1,3,0,4,1,4,1,30,1,1
481,1,1,2,4,0,4,1,1,1,31,12,1
482,1,1,1,4,0,4,1,3,0,55,12,1
483,1,1,4,4,0,4,1,3,1,6,12,1
484,1,1,3,4,0,4,1,3,1,5,12,1
485,1,1,1,4,0,4,1,4,0,45,0,1
486,1,1,1,0,0,4,1,3,0,9,1,1
487,2,1,2,0,0,4,8,1,1,61,3,1
488,1,1,4,4,0,4,1,1,1,50,1,1
489,2,1,3,4,0,2,8,1,0,45,1,1
490,2,1,4,4,0,3,1,1,1,39,1,1
491,2,5,4,4,0,2,8,1,0,53,1,1
492,2,6,3,4,3,4,5,1,1,36,1,1
493,2,6,2,4,3,4,5,1,0,22,1,1
494,2,6,1,4,3,4,5,1,1,40,12,1
495,1,6,4,4,3,4,5,4,0,82,0,0
496,2,6,4,4,3,4,5,1,1,60,1,1
497,1,6,4,4,0,4,1,3,1,5,1,1
498,1,6,2,4,3,4,5,3,1,57,1,1
499,2,4,2,0,0,4,1,4,0,24,0,0
500,2,4,2,4,0,4,8,1,1,74,1,1
501,2,4,4,3,0,4,1,4,0,18,1,1
502,2,4,2,3,0,4,1,1,0,23,1,1
503,2,4,3,4,0,4,1,1,1,49,1,0
504,2,0,4,0,0,4,8,1,1,33,9,1
505,2,0,3,0,0,1,1,1,0,23,1,0
506,2,0,4,0,0,1,1,4,1,47,1,1
507,2,0,3,0,0,1,1,1,1,50,1,1
508,1,2,3,3,0,4,1,1,1,45,1,1
509,4,2,1,0,0,3,1,4,1,28,9,1
510,1,2,3,4,0,3,1,3,1,35,13,1
511,1,3,3,4,0,4,8,3,0,31,1,1
512,1,3,1,0,0,4,8,3,1,67,1,1
513,2,3,2,0,0,4,1,1,1,71,1,1
514,1,3,3,3,0,3,1,1,1,22,2,0
515,2,1,4,0,0,4,1,1,1,46,12,1
516,1,5,3,0,0,4,1,4,0,53,0,1
517,3,5,1,1,0,4,1,1,1,41,2,1
518,2,5,1,4,0,4,1,1,1,30,10,1
519,2,5,3,2,0,3,1,1,1,70,1,1
520,1,6,2,2,0,4,1,3,0,7,1,1
521,2,6,3,3,0,4,1,1,0,33,1,1
522,2,6,1,3,0,4,1,1,1,54,1,1
523,2,6,4,4,0,4,1,1,1,47,9,0
524,3,4,4,4,0,4,1,1,1,62,1,1
525,3,4,3,4,0,4,1,1,0,53,1,1
526,2,4,1,4,0,4,8,1,1,12,12,1
527,2,6,2,4,0,4,8,1,1,30,12,1
528,2,4,1,0,0,4,1,1,1,36,12,1
529,2,0,1,0,0,4,1,1,0,51,1,1
530,2,0,2,4,0,4,1,4,0,24,13,1
531,2,0,4,0,3,4,1,1,1,22,10,1
532,2,0,3,4,0,3,1,1,0,37,1,1
533,2,2,1,1,0,1,1,1,0,22,1,1
534,2,2,3,1,0,1,1,4,0,20,1,0
535,2,2,4,3,0,4,1,1,0,34,1,1
536,2,2,3,3,0,4,1,4,0,65,1,1
537,2,2,1,4,0,4,1,1,0,63,1,1
538,2,3,2,0,0,4,1,1,1,45,12,0
539,2,3,3,0,0,4,8,4,0,28,13,1
540,1,3,3,3,0,4,1,4,1,18,1,1
541,2,3,2,4,0,4,1,1,1,19,1,1
542,2,3,4,4,0,4,1,1,1,79,1,1
543,2,3,1,4,0,4,1,4,0,79,1,1
544,3,3,4,4,0,4,1,1,0,31,1,1
545,3,3,3,4,0,4,1,4,1,5,1,1
546,3,3,2,4,0,4,1,1,0,43,1,1
547,3,3,2,4,0,4,1,4,1,7,1,1
548,3,3,1,4,0,4,1,4,1,8,1,1
549,2,3,1,0,0,3,1,4,0,18,1,1
550,2,1,4,3,0,3,1,4,1,45,1,1
551,1,1,2,4,0,4,1,4,0,57,0,1
552,2,5,4,4,0,4,1,1,0,39,1,1
553,2,5,1,0,0,4,1,4,0,18,1,1
554,1,5,1,4,0,3,1,3,0,22,1,0
555,3,6,2,4,0,4,1,1,1,37,1,1
556,1,6,1,0,0,4,1,1,1,43,9,0
557,2,5,3,4,0,4,1,1,1,51,0,1
558,2,5,2,4,0,4,1,4,1,55,0,1
559,2,4,4,4,0,2,8,1,1,15,12,1
560,4,0,1,1,3,4,1,1,1,47,1,1
561,4,0,2,1,3,4,1,1,0,37,1,1
562,4,0,4,1,3,4,1,4,0,13,1,1
563,4,0,2,1,3,4,1,4,0,7,1,1
564,4,0,1,1,3,4,1,1,1,27,1,1
565,4,0,4,1,3,4,1,1,1,23,1,1
566,4,0,2,1,3,4,1,1,1,64,1,1
567,4,0,1,1,3,4,1,1,0,34,1,1
568,2,0,2,4,0,4,1,4,0,25,1,1
569,1,0,4,4,0,4,1,1,1,67,9,0
570,2,0,1,3,0,4,1,1,0,28,1,1
571,1,2,4,4,0,4,1,3,1,46,1,1
572,1,2,1,3,0,4,1,1,1,30,1,0
573,2,2,2,0,0,4,1,1,1,29,1,1
574,1,2,4,4,0,4,1,3,1,20,1,1
575,1,2,2,3,3,4,5,4,0,55,1,1
576,2,3,1,4,0,4,1,4,1,25,1,1
577,2,3,2,0,0,4,1,4,0,34,1,1
578,1,3,3,2,3,4,5,3,0,11,1,0
579,3,3,4,4,3,4,4,4,0,19,1,1
580,1,3,4,3,0,4,1,1,1,21,1,1
581,1,3,4,4,0,2,8,3,1,58,1,1
582,1,3,2,4,0,2,8,3,0,28,1,1
583,2,1,2,0,0,4,1,1,0,68,1,1
584,2,1,2,0,0,4,1,1,0,28,1,1
585,2,1,1,4,0,4,1,1,1,21,10,0
586,2,1,2,0,0,4,1,1,0,55,1,1
587,2,1,4,0,0,4,1,4,1,18,1,1
588,2,5,1,0,0,4,1,1,0,46,1,1
589,2,5,4,0,0,4,1,1,0,43,1,1
590,2,5,1,0,0,4,1,4,1,6,1,1
591,2,5,4,4,0,4,1,1,1,25,1,1
592,2,5,2,4,3,3,5,4,0,3,1,1
593,2,4,2,4,3,4,1,1,0,24,1,1
594,1,5,2,0,0,4,1,3,1,30,1,0
595,3,6,3,4,0,4,1,1,0,25,1,1
596,2,6,2,4,0,4,1,1,1,44,1,1
597,2,6,2,0,0,4,1,1,0,35,1,1
598,2,6,3,4,0,4,1,1,0,17,1,1
599,2,6,3,4,0,4,1,4,1,35,1,1
600,1,4,2,4,0,4,8,3,1,32,0,1
601,1,6,3,4,0,3,1,4,0,67,0,1
602,1,6,4,2,0,4,1,3,1,50,1,1
603,2,6,3,0,0,4,1,1,1,19,12,0
604,2,6,1,0,0,4,1,4,0,28,13,1
605,2,6,4,0,0,4,1,4,1,29,13,1
606,2,6,4,3,0,4,1,1,0,22,1,1
607,2,6,1,4,0,4,1,1,0,33,1,1
608,1,6,3,4,0,1,1,4,1,19,1,1
609,2,4,2,4,0,4,1,1,1,59,8,1
610,2,4,2,2,0,4,1,1,1,45,1,1
611,2,4,3,0,3,4,5,4,0,25,1,1
612,2,4,4,0,3,4,5,4,1,17,1,1
613,2,6,1,4,0,4,1,3,1,5,1,1
614,2,4,1,4,0,4,1,1,1,47,1,1
615,1,4,4,0,0,4,1,1,1,57,1,1
616,1,4,1,4,0,4,1,3,1,8,1,1
617,2,4,1,0,0,4,1,1,0,44,1,1
618,1,4,4,0,0,4,1,3,0,17,9,1
619,1,4,2,2,0,3,1,1,1,18,1,1
620,2,0,3,4,0,4,1,1,1,32,10,0
621,1,0,1,0,0,4,1,1,1,31,1,1
622,1,2,2,4,3,4,5,4,0,30,1,1
623,2,2,2,3,3,4,1,1,1,59,1,1
624,2,2,2,3,3,4,1,4,1,28,1,1
625,2,2,3,3,3,4,1,4,0,46,1,1
626,2,2,3,3,3,4,1,4,0,60,1,1
627,2,2,1,3,3,4,1,1,0,24,1,1
628,2,2,4,3,3,4,1,4,1,27,1,1
629,2,2,3,3,3,4,1,4,1,3,1,1
630,2,2,1,0,0,4,1,1,1,34,9,0
631,2,2,1,4,0,4,1,1,0,23,1,1
632,2,2,4,4,0,4,1,4,0,18,1,1
633,2,2,2,4,0,4,1,4,0,45,1,1
634,2,2,1,4,0,4,1,4,0,12,1,1
635,3,3,4,3,0,4,1,4,0,53,1,1
636,1,3,3,4,0,4,1,1,1,24,13,1
637,1,1,4,4,0,4,1,3,1,9,10,1
638,2,1,2,0,0,4,1,4,0,45,1,1
639,1,1,3,4,0,4,1,3,0,62,1,1
640,1,1,4,0,0,4,8,1,0,55,1,1
641,2,5,4,3,3,4,1,1,0,45,1,1
642,2,5,4,4,0,4,1,1,1,28,12,0
643,2,5,3,3,0,4,1,4,0,4,1,1
644,2,5,4,4,0,4,1,1,0,19,1,1
645,2,5,1,4,0,4,1,4,0,21,1,1
646,1,5,2,0,0,4,1,4,1,3,0,1
647,2,5,3,0,0,4,1,1,0,38,1,1
648,2,4,2,0,0,4,1,1,1,32,12,1
649,3,4,1,0,0,4,1,4,0,13,1,1
650,3,4,1,0,0,4,1,4,1,15,1,1
651,3,4,3,0,0,4,1,4,1,20,1,1
652,2,4,1,4,0,4,1,1,0,73,1,1
653,2,4,4,4,0,4,1,1,0,46,1,1
654,2,4,2,4,3,4,5,1,1,33,1,1
655,2,4,4,0,3,4,5,1,1,37,1,1
656,1,4,2,4,0,4,1,3,1,51,2,1
657,2,0,1,0,0,4,1,4,0,72,1,1
658,2,0,1,0,0,4,1,1,1,23,1,1
659,2,0,1,4,0,4,8,1,0,30,1,1
660,1,0,1,4,0,4,1,3,1,35,1,0
661,2,0,3,2,3,3,1,1,1,62,1,1
662,2,0,3,2,3,3,1,1,1,20,1,1
663,2,0,4,2,3,3,1,4,1,20,1,1
664,1,0,1,4,0,3,8,3,0,69,8,0
665,1,0,4,0,3,3,5,3,1,35,13,1
666,1,2,4,0,0,4,1,1,1,23,1,1
667,1,2,3,4,0,4,1,4,1,2,0,1
668,3,2,1,4,0,3,8,1,1,30,1,1
669,2,3,1,4,0,3,1,1,1,31,13,1
670,2,3,2,4,0,3,1,4,0,56,13,1
671,2,3,1,4,0,3,1,4,0,51,13,1
672,2,3,1,4,0,3,1,4,0,53,13,1
673,1,3,3,4,0,4,1,1,1,21,2,0
674,1,3,1,4,0,4,1,4,0,23,2,0
675,2,3,3,0,0,4,1,1,1,41,9,0
676,2,1,2,4,0,4,1,1,0,82,7,1
677,2,3,3,4,0,4,1,1,1,32,1,1
678,2,3,4,4,0,4,1,1,0,37,1,1
679,2,2,2,4,0,2,1,1,1,30,1,1
680,2,1,3,4,0,4,1,4,1,7,1,1
681,1,5,4,4,3,1,5,1,1,18,1,1
682,2,0,3,0,0,4,1,1,1,35,12,1
683,1,5,3,2,0,4,1,3,0,71,1,1
684,2,5,1,4,0,3,8,1,0,25,1,1
685,1,5,1,0,0,4,8,3,0,42,13,1
686,2,5,2,4,3,4,1,1,1,53,10,0
687,3,6,2,4,0,4,1,1,0,50,1,1
688,2,4,1,3,0,4,1,1,1,41,1,1
689,2,4,2,2,0,4,8,1,0,57,1,1
690,2,0,4,4,0,4,1,1,0,41,1,1
691,4,0,4,0,0,4,1,1,1,58,1,1
692,2,0,1,4,0,4,1,1,0,26,1,1
693,2,0,1,4,0,4,1,1,0,46,1,1
694,2,0,4,4,0,4,1,1,1,20,1,1
695,2,0,4,4,0,4,1,1,1,54,12,1
696,2,0,4,4,3,3,5,4,0,65,1,1
697,2,0,2,4,3,3,5,1,1,39,1,1
698,1,2,4,0,0,4,1,3,1,85,1,1
699,2,2,4,4,0,4,8,1,1,18,1,1
700,2,2,1,4,0,4,8,4,0,19,1,1
701,2,2,3,4,0,4,1,1,0,18,1,1
702,2,2,1,4,0,4,1,4,0,19,1,1
703,2,2,2,4,0,4,1,1,0,36,1,1
704,2,2,3,4,0,4,1,4,0,5,1,1
705,2,2,3,4,0,4,1,1,0,55,1,1
706,2,2,2,4,0,4,1,4,1,25,1,1
707,2,2,2,4,0,4,1,4,0,25,1,1
708,2,6,3,0,0,3,1,1,0,33,12,1
709,2,2,4,0,0,4,1,1,1,27,9,1
710,4,2,3,4,0,4,1,1,1,30,1,1
711,4,2,1,4,0,4,1,1,0,44,1,1
712,3,2,4,4,0,4,1,1,1,33,1,1
713,3,2,2,4,0,4,1,1,1,23,1,1
714,2,3,4,0,0,4,1,1,0,19,1,1
715,2,3,4,0,0,4,1,4,1,19,1,1
716,1,3,1,4,0,4,1,1,1,25,10,0
717,2,1,3,0,0,4,1,1,1,29,12,1
718,2,1,3,0,0,4,1,1,1,58,8,0
719,2,3,1,4,0,4,1,1,1,43,12,1
720,1,1,4,4,0,4,1,4,1,65,0,1
721,3,1,2,0,0,4,1,1,1,49,1,1
722,3,1,4,0,0,4,1,1,1,23,2,1
723,3,1,3,0,0,4,1,1,0,63,1,1
724,3,1,3,0,0,4,1,1,1,21,1,1
725,2,1,1,0,0,4,8,1,0,31,1,1
726,2,5,3,4,0,4,1,1,0,45,1,1
727,2,5,2,4,0,4,1,4,1,13,1,1
728,2,5,3,4,0,4,1,4,0,16,1,1
729,2,5,4,0,0,4,1,1,1,57,12,1
730,2,5,3,4,0,4,1,1,1,13,12,0
731,2,5,1,0,0,4,1,1,0,54,1,1
732,2,5,2,1,0,4,1,1,1,48,1,1
733,2,6,2,4,0,4,1,1,1,21,1,1
734,2,6,4,4,0,4,1,1,1,61,1,0
735,1,5,2,2,0,1,1,4,0,23,1,1
736,1,5,2,4,0,3,1,3,1,23,1,0
737,1,6,2,2,0,4,1,3,1,72,0,1
738,2,6,4,0,0,4,8,1,1,37,12,1
739,5,6,3,3,0,4,1,1,1,32,1,1
740,5,6,1,3,0,4,1,1,0,51,1,1
741,2,6,3,0,0,4,1,1,1,50,12,1
742,2,6,3,0,0,4,1,1,0,51,1,1
743,2,6,2,4,0,4,1,1,1,26,12,1
744,2,6,1,0,0,4,1,1,1,42,12,1
745,4,6,4,4,0,4,1,1,1,54,1,1
746,4,6,3,4,0,4,1,1,1,48,1,1
747,4,6,2,4,0,4,1,4,1,6,1,1
748,2,6,2,4,0,4,1,1,0,28,1,1
749,2,6,4,4,0,4,1,4,0,4,1,1
750,1,6,1,4,0,3,1,3,1,43,13,1
751,2,4,2,4,0,4,1,1,1,47,12,0
752,1,4,3,4,0,4,1,3,1,46,1,0
753,1,4,2,0,0,4,1,3,0,29,1,1
754,2,4,4,3,0,4,1,1,0,27,1,1
755,2,4,2,1,0,4,1,1,1,69,1,1
756,2,4,1,4,0,4,1,1,1,25,10,1
757,2,4,1,4,0,4,1,1,0,36,1,1
758,2,4,4,4,0,4,1,1,0,36,1,1
759,1,4,3,0,0,3,1,3,0,15,1,1
760,2,4,2,0,0,3,8,1,0,25,12,1
761,3,4,1,0,0,1,1,1,1,24,1,1
762,3,4,3,0,0,1,1,4,1,25,1,1
763,3,4,1,0,0,1,1,1,1,31,1,1
764,2,4,4,4,0,3,8,4,1,75,0,1
765,2,0,2,0,0,4,1,1,1,55,12,1
766,1,0,1,0,0,4,1,3,0,51,2,0
767,2,0,2,0,0,4,1,1,1,52,9,1
768,4,0,3,3,0,4,1,1,1,21,2,1
769,4,0,4,3,0,4,1,4,0,20,2,1
770,4,0,4,3,0,4,1,1,1,61,1,1
771,4,0,3,3,0,4,1,1,1,51,1,1
772,4,0,4,3,0,4,1,4,0,50,1,1
773,2,0,1,4,0,4,1,1,0,19,1,1
774,1,0,1,4,0,4,8,3,0,13,1,1
775,2,2,3,4,3,3,5,1,1,23,12,1
776,1,2,2,4,0,3,1,4,1,32,1,1
777,1,2,3,4,0,3,1,4,0,20,1,1
778,2,2,1,3,0,4,1,1,0,63,1,1
779,2,3,2,0,0,4,8,1,0,40,1,1
780,3,3,1,0,0,4,8,1,1,20,8,1
781,2,3,1,4,0,4,1,1,1,33,1,1
782,2,3,3,4,0,4,1,4,1,1,1,1
783,2,1,3,0,0,4,1,1,1,44,12,1
784,2,1,2,4,0,4,1,1,1,36,1,1
785,2,1,4,4,0,4,1,1,0,59,1,1
786,1,1,1,4,0,4,1,1,1,48,0,1
787,1,1,4,4,0,4,1,4,1,16,0,1
788,1,1,2,3,3,4,3,1,1,28,1,1
789,2,1,1,4,0,4,1,1,1,31,13,1
790,1,5,3,4,0,4,1,1,0,23,1,1
791,2,5,4,4,0,4,1,1,1,48,2,1
792,3,5,3,0,3,4,7,1,0,43,1,1
793,1,5,3,0,3,4,5,1,1,26,10,0
794,1,5,1,0,3,4,1,3,0,52,1,1
795,2,5,3,0,0,4,1,1,0,26,1,1
796,1,5,2,4,3,4,1,3,1,24,1,1
797,2,5,2,4,0,4,1,4,1,78,0,1
798,2,6,3,0,0,4,1,1,1,36,1,0
799,2,6,1,0,0,4,1,1,0,32,1,0
800,2,6,4,0,3,4,1,1,1,35,10,0
801,2,6,3,4,0,4,1,1,1,53,12,1
802,2,6,2,4,0,4,1,4,1,5,1,1
803,3,6,4,4,0,4,1,1,1,49,1,1
804,3,6,1,4,0,4,1,4,0,85,1,1
805,2,6,3,0,3,4,5,1,1,48,1,1
806,2,6,2,0,3,4,5,4,0,49,1,1
807,1,6,1,4,2,4,7,1,0,63,1,1
808,1,6,4,4,3,4,1,3,1,10,1,1
809,2,6,3,4,3,3,1,1,1,34,13,1
810,2,6,3,4,3,3,1,1,1,21,1,1
811,5,4,2,0,0,4,1,1,0,29,1,1
812,1,4,2,0,0,4,1,3,0,23,1,1
813,2,4,4,4,0,4,1,1,1,34,12,1
814,2,4,2,0,0,4,1,1,1,26,12,1
815,2,4,1,4,0,4,1,1,1,59,2,1
816,2,4,2,4,0,4,1,4,1,60,2,1
817,1,4,3,4,3,4,5,3,1,12,1,1
818,2,4,2,4,3,4,5,1,1,50,1,1
819,2,4,1,4,3,4,5,4,0,27,1,1
820,2,4,1,4,3,4,5,4,0,40,13,1
821,2,4,4,0,0,4,1,1,1,69,1,1
822,2,4,3,0,3,4,5,1,1,23,1,1
823,2,4,4,0,0,4,8,1,1,38,12,1
824,2,4,4,0,0,4,8,1,1,27,4,1
825,2,4,4,0,3,3,5,1,1,53,1,1
826,2,4,3,0,3,3,5,1,1,43,2,1
827,1,0,1,0,2,3,7,1,1,35,10,1
828,2,0,3,4,0,3,1,1,0,41,1,1
829,2,0,2,4,0,4,1,1,1,25,10,0
830,1,0,4,0,0,3,1,1,1,26,10,0
831,2,2,2,0,0,4,1,4,1,85,0,1
832,2,2,4,4,0,4,1,1,1,53,12,0
833,1,0,1,4,3,4,1,1,1,15,12,1
834,4,2,1,0,0,4,1,1,1,20,8,0
835,2,2,1,4,0,4,1,1,1,66,1,1
836,2,2,1,4,0,4,1,4,0,65,1,1
837,1,2,1,0,0,4,1,1,1,45,1,1
838,1,3,4,4,3,1,1,1,1,26,1,1
839,2,1,3,0,0,4,8,1,0,23,1,1
840,1,1,3,4,3,4,1,1,1,28,12,1
841,1,1,1,4,3,4,5,3,0,61,1,1
842,2,5,4,0,0,4,1,1,0,52,1,1
843,2,5,1,0,0,4,1,1,0,59,1,0
844,2,5,1,4,0,4,1,1,1,34,12,1
845,3,5,1,0,0,4,1,1,1,26,10,0
846,2,5,1,4,0,4,1,1,1,23,12,1
847,2,1,1,4,0,4,1,4,0,27,13,1
848,1,5,3,2,0,4,1,3,0,38,1,0
849,1,5,3,4,0,4,1,3,0,11,1,1
850,2,5,3,4,0,4,1,1,0,28,1,1
851,2,5,3,4,0,4,1,4,0,43,13,1
852,2,2,4,2,0,4,1,1,1,55,8,0
853,2,5,2,0,3,3,1,1,0,24,1,1
854,3,6,1,3,0,4,1,1,0,22,1,1
855,2,6,1,0,0,4,1,1,1,32,1,0
856,2,6,2,4,0,4,1,1,1,14,12,1
857,3,6,2,0,0,4,1,1,1,37,9,1
858,1,6,2,4,0,4,1,3,1,6,1,1
859,3,4,4,0,0,4,1,1,1,32,1,1
860,3,4,2,0,0,4,1,1,1,53,2,1
861,3,4,4,0,0,4,1,1,1,29,1,1
862,2,4,4,0,0,4,1,1,1,22,1,1
863,1,4,1,4,0,3,1,1,1,24,10,0
864,3,0,2,0,0,4,1,1,1,45,2,1
865,3,0,2,0,0,4,1,1,0,41,1,1
866,1,0,1,0,0,4,1,3,1,70,2,1
867,2,0,1,4,0,4,1,1,1,21,5,1
868,2,0,3,2,0,4,1,1,1,27,12,1
869,2,0,1,0,0,4,1,1,1,38,12,0
870,1,0,4,4,0,4,1,3,0,10,1,1
871,3,2,2,0,0,4,1,1,1,47,9,1
872,3,2,4,0,0,4,1,4,0,40,9,1
873,1,2,3,4,0,4,1,3,1,2,13,1
874,2,2,4,0,3,4,5,1,0,48,1,1
875,2,2,4,0,3,4,5,4,0,9,1,1
876,3,2,3,4,0,4,1,1,0,22,1,1
877,3,2,4,4,0,4,1,4,0,21,1,1
878,2,2,3,4,0,4,1,4,0,13,13,1
879,2,3,1,0,0,4,8,1,1,41,1,1
880,2,3,2,0,0,4,8,4,0,15,1,1
881,2,3,3,0,0,4,8,4,0,20,1,1
882,2,3,4,0,0,4,8,4,1,25,1,1
883,1,3,1,2,0,4,1,3,0,12,1,0
884,1,3,1,4,0,4,1,1,1,47,12,1
885,2,3,3,4,0,4,8,1,0,23,1,1
886,2,3,2,4,0,4,1,1,1,46,1,1
887,2,3,2,4,0,4,1,4,0,43,1,1
888,2,3,2,0,0,4,1,1,0,21,12,1
889,2,1,3,0,0,4,1,1,1,39,1,1
890,2,1,4,0,0,4,1,4,1,33,1,1
891,2,1,1,0,0,4,1,4,0,30,1,1
892,2,1,2,0,0,4,1,4,0,36,1,1
893,2,1,1,4,0,4,8,1,0,40,1,1
894,1,1,1,0,0,4,1,3,1,12,0,0
895,2,1,3,0,0,4,1,4,0,25,6,1
896,2,1,2,0,0,4,1,4,0,25,6,1
897,2,1,2,0,0,4,8,1,1,39,1,1
898,2,1,4,0,0,4,8,4,0,33,1,1
